ID,Shape,Layout,Area,MainArea,Age,Floor,TopSchool,Parking,Balcony,LowStruct,DisTrict,Road,Money
42,電梯大樓,4房2廳2衛,權狀61.28坪,主建30.86坪,12年,2F/15F,1.0,1.0,0.0,0.0,左營區-,博愛四路,"1,988"
43,透天厝,5房2廳4衛,權狀48.77坪,主建44.83坪,不詳,整棟/4F,0.0,0.0,0.0,0.0,左營區-,博愛四路,"1,768"
44,電梯大樓,2房2廳1衛,權狀26.45坪,主建16.57坪,18年,11F/15F,0.0,0.0,0.0,1.0,左營區-,富國路,888
45,電梯大樓,3房2廳2衛,權狀50.48坪,主建25.54坪,10年,20F/25F,0.0,1.0,0.0,0.0,橋頭區-,橋新三路,"1,898"
46,電梯大樓,4房2廳2衛,權狀45.44坪,主建27.16坪,29年,4F/20F,1.0,1.0,0.0,1.0,三民區-,水源路217巷,"1,238"
47,電梯大樓,3房2廳2衛,權狀65.35坪,主建33.11坪,8年,13F/15F,0.0,1.0,1.0,0.0,鳳山區-,北昌五街,"1,898"
48,電梯大樓,4房2廳3衛,權狀54.35坪,主建25.72坪,12年,20F/22F,0.0,1.0,0.0,0.0,三民區-,正興路,"1,580"
49,電梯大樓,3房2廳2衛,權狀36.11坪,主建19.49坪,7年,8F/15F,0.0,1.0,1.0,0.0,橋頭區-,芋寮路路信巷,"1,088"
50,電梯大樓,5房2廳2衛,權狀72.2坪,主建43.96坪,31年,9F/25F,1.0,1.0,1.0,0.0,三民區-,建昌路,"1,858"
51,電梯大樓,2房2廳2衛,權狀21.85坪,主建13.98坪,不詳,5F/8F,0.0,0.0,0.0,1.0,三民區-,美都路,628
52,電梯大樓,4房2廳3衛,權狀74.5坪,主建41.91坪,10年,3F/15F,0.0,1.0,0.0,0.0,鼓山區-,馬卡道路,"2,538"
53,電梯大樓,3房2廳2衛,權狀44.94坪,主建19.37坪,8個月,15F/24F,0.0,1.0,0.0,0.0,楠梓區-,楠盛街,"2,180"
54,電梯大樓,3房2廳2衛,權狀38.15坪,主建25.16坪,28年,9F/15F,0.0,0.0,1.0,1.0,前金區-,六合二路,799
55,透天厝,4房2廳3衛,權狀58.4坪,主建53.3坪,1年,整棟/4F,0.0,0.0,0.0,0.0,鹽埕區-,公園二路,"1,988"
56,電梯大樓,3房2廳2衛,權狀47.49坪,主建17.93坪,不詳,15F/15F,0.0,1.0,1.0,0.0,旗山區-,大里街,"1,868"
57,別墅,5房2廳4衛,權狀67.07坪,主建60.81坪,9年,整棟/4F,0.0,0.0,0.0,0.0,前金區-,河東路,"1,980"
58,透天厝,開放式格局,權狀36.45坪,主建36.45坪,43年,整棟/4F,0.0,0.0,0.0,0.0,左營區-,文萊路,668
59,電梯大樓,4房2廳2衛,權狀73.98坪,主建42.56坪,5年,12F/29F,1.0,1.0,1.0,0.0,鼓山區-,美明路,"3,368"
60,電梯大樓,4房2廳3衛,權狀136.89坪,主建68.33坪,10年,2F/29F,1.0,1.0,1.0,0.0,鼓山區-,逢甲路,"3,980"
61,電梯大樓,4房2廳2衛,權狀50.12坪,主建25.65坪,22年,7F/14F,0.0,0.0,0.0,0.0,楠梓區-,大學十一街,"1,750"
62,電梯大樓,3房2廳2衛,權狀44.63坪,主建19.85坪,3年,15F/15F,0.0,1.0,1.0,0.0,楠梓區-,大學十一街,"1,498"
63,電梯大樓,4房2廳2衛,權狀68.07坪,主建28.3坪,2年,7F/15F,0.0,1.0,0.0,0.0,鼓山區-,美術東六街,"2,315"
64,透天厝,4房2廳4衛,權狀51坪,主建12.52坪,20年,1F~4F/4F,0.0,1.0,1.0,0.0,大社區-,自由路,"1,888"
65,公寓,3房2廳2衛,權狀24.8坪,主建24.8坪,45年,5F/5F,0.0,0.0,1.0,0.0,前鎮區-,一心二路,538
66,電梯大樓,3房2廳2衛,權狀32.93坪,主建23.79坪,27年,7F/12F,0.0,0.0,0.0,1.0,鼓山區-,美術北三路,748
67,透天厝,6房2廳4衛,權狀409坪,主建78坪,5年,1F~3F/3F,0.0,0.0,0.0,0.0,大寮區-,大智街,"4,200"
68,電梯大樓,4房2廳2衛,權狀40.71坪,主建23.19坪,1年,7F/7F,0.0,1.0,1.0,1.0,新興區-,同心路,"1,198"
69,別墅,5房2廳4衛,權狀67.07坪,主建60.81坪,9年,整棟/4F,0.0,1.0,0.0,0.0,鹽埕區-,七賢二路,"1,980"
70,電梯大樓,3房2廳2衛,權狀66.71坪,主建33.33坪,11個月,20F/29F,0.0,1.0,1.0,0.0,前金區-,成功一路,"2,866"
71,透天厝,4房2廳4衛,權狀53.85坪,主建48.98坪,1年,1F~4F/4F,0.0,0.0,0.0,0.0,大社區-,學府路,"1,289"
72,別墅,4房2廳4衛,權狀76.1坪,主建68.4坪,28年,整棟/4F,0.0,1.0,1.0,0.0,小港區-,高松路,"1,380"
73,電梯大樓,2房2廳1衛,權狀25.02坪,主建14.61坪,1個月,7F/12F,0.0,1.0,0.0,0.0,小港區-,廈庄六街,938
74,透天厝,4房2廳3衛,權狀29.95坪,主建21.24坪,36年,1F~3F/3F,0.0,0.0,1.0,0.0,左營區-,新莊一路,858
75,電梯大樓,2房2廳2衛,權狀38.32坪,主建17.97坪,4年,11F/13F,1.0,1.0,0.0,0.0,三民區-,鼎新路,"1,080"
76,透天厝,6房2廳3衛,權狀45.66坪,主建45.66坪,41年,整棟/3F,1.0,0.0,1.0,0.0,鳳山區-,建國路三段,"1,985"
77,電梯大樓,4房2廳2衛,權狀60.73坪,主建30.29坪,16年,5F/28F,0.0,1.0,0.0,0.0,三民區-,中華二路,"1,880"
78,電梯大樓,2房2廳1衛,權狀37.28坪,主建16.13坪,6年,9F/13F,0.0,1.0,1.0,0.0,左營區-,重平路,"1,398"
79,電梯大樓,4房3廳3衛,權狀154.72坪,主建73.63坪,10年,9F/25F,0.0,1.0,1.0,0.0,三民區-,建興路250巷,"5,198"
80,公寓,5房5衛,權狀21.82坪,主建21.82坪,44年,2F/4F,0.0,0.0,0.0,0.0,三民區-,慶雲街39巷,498
81,電梯大樓,3房2廳2衛,權狀29.71坪,主建20.28坪,30年,8F/8F,0.0,0.0,0.0,0.0,三民區-,中華二路,698
82,電梯大樓,3房2廳2衛,權狀34.93坪,主建24.75坪,35年,7F/7F,0.0,0.0,1.0,1.0,鼓山區-,美術東八街,698
83,電梯大樓,2房2廳1衛,權狀37.2坪,主建16.08坪,6年,2F/13F,0.0,1.0,1.0,0.0,楠梓區-,大學十街330巷,"1,398"
84,電梯大樓,3房2廳2衛,權狀55.09坪,主建28.5坪,4年,3F/13F,0.0,1.0,1.0,0.0,鼓山區-,文忠路,"1,688"
85,透天厝,3房2廳2衛,權狀22.53坪,主建20.8坪,46年,1F~3F/3F,0.0,1.0,1.0,0.0,鼓山區-,九如四路1991巷,980
86,電梯大樓,4房2廳2衛,權狀57.09坪,主建33.13坪,28年,4F/16F,1.0,1.0,1.0,0.0,鼓山區-,馬卡道路,"1,680"
87,電梯大樓,3房2廳2衛,權狀76坪,主建34.96坪,1年,19F/27F,0.0,1.0,0.0,0.0,鼓山區-,美術館路,"3,968"
89,電梯大樓,4房2廳2衛,權狀64.81坪,主建33.9坪,18年,13F/15F,1.0,1.0,1.0,0.0,小港區-,廈莊六街,"2,980"
90,電梯大樓,4房2廳2衛,權狀91.42坪,主建49.67坪,16年,26F/27F,0.0,1.0,0.0,0.0,苓雅區-,成功一路,"2,893"
91,透天厝,4房3廳3衛,權狀57.41坪,主建51.26坪,28年,1F~4F/4F,0.0,0.0,0.0,0.0,鹽埕區-,七賢二路,698
92,別墅,6房2廳4衛,權狀74.34坪,主建59.61坪,18年,整棟/5F,0.0,0.0,1.0,0.0,旗山區-,旗屏二路,"3,998"
93,電梯大樓,1房1衛,權狀12.23坪,主建6.7坪,30年,14F/19F,0.0,0.0,1.0,0.0,鹽埕區-,北斗街,226
94,透天厝,7房2廳5衛,權狀57.31坪,主建48.28坪,29年,1F~6F/6F,0.0,0.0,0.0,0.0,岡山區-,介壽路10巷,"1,700"
95,公寓,3房2廳1衛,權狀23.96坪,主建20.96坪,51年,3F/4F,0.0,0.0,1.0,0.0,鹽埕區-,大成街,538
96,透天厝,3房2廳4衛,權狀58.73坪,主建54.92坪,1年,整棟/5F,0.0,0.0,1.0,0.0,大寮區-,濃一街,"2,088"
97,電梯大樓,2房2廳1衛,權狀25.41坪,主建14.59坪,1個月,34F/37F,0.0,1.0,1.0,1.0,新興區-,五福二路,"1,598"
98,電梯大樓,5房3廳4衛,權狀98.78坪,主建66.79坪,28年,16F/26F,0.0,0.0,0.0,0.0,苓雅區-,渤海街,"1,988"
99,電梯大樓,3房2廳2衛,權狀34.95坪,主建30.93坪,42年,4F/12F,0.0,0.0,0.0,0.0,鳥松區-,圓山路,698
100,別墅,6房2廳6衛,權狀97.33坪,主建94.32坪,12年,整棟/4F,0.0,0.0,0.0,0.0,大寮區-,民昌街,"3,980"
101,透天厝,4房2廳4衛,權狀49.36坪,主建43.07坪,11年,整棟/4F,0.0,1.0,0.0,0.0,鹽埕區-,七賢三路,"2,080"
102,公寓,4房4衛,權狀26.33坪,主建26.33坪,44年,5F/5F,0.0,0.0,0.0,0.0,岡山區-,岡山路89巷,520
103,公寓,3房2廳2衛,權狀17.59坪,主建17.59坪,46年,4F/5F,0.0,0.0,1.0,0.0,前金區-,中山二路,438
104,電梯大樓,4房2廳2衛,權狀62.42坪,主建35.07坪,17年,9F/12F,0.0,1.0,0.0,0.0,鹽埕區-,五福四路,"1,388"
105,電梯大樓,1房1廳1衛,權狀12.21坪,主建8.49坪,44年,3F/12F,0.0,0.0,0.0,1.0,大寮區-,崇恩路63巷,320
106,公寓,3房2廳1衛,權狀20.43坪,主建20.43坪,44年,5F/5F,0.0,0.0,0.0,0.0,苓雅區-,四維四路,498
107,電梯大樓,2房2廳1衛,權狀33.66坪,主建14.59坪,6年,9F/15F,0.0,0.0,1.0,0.0,仁武區-,京吉五路,988
108,電梯大樓,2房2廳2衛,權狀48.9坪,主建25.95坪,22年,12F/24F,0.0,1.0,1.0,1.0,前鎮區-,復興三路,"2,480"
109,別墅,5房2廳3衛,權狀33.8坪,主建29.69坪,37年,1F~5F/5F,0.0,1.0,1.0,0.0,橋頭區-,橋新一路,"1,398"
110,電梯大樓,3房2廳2衛,權狀71.72坪,主建35.43坪,6年,8F/24F,0.0,1.0,1.0,0.0,仁武區-,北屋北街,"2,798"
111,電梯大樓,3房2廳2衛,權狀46.12坪,主建22.21坪,1年,6F/15F,0.0,1.0,1.0,0.0,苓雅區-,武廟路,"1,398"
112,透天厝,5房2廳3衛,權狀55.68坪,主建46.54坪,16年,整棟/4F,0.0,0.0,0.0,0.0,小港區-,高坪二十二路,"1,866"
113,別墅,5房3廳4衛,權狀110.49坪,主建104.81坪,7年,整棟/4F,0.0,1.0,1.0,0.0,仁武區-,京吉二路,"4,280"
114,別墅,6房2廳5衛,權狀82.3坪,主建77.05坪,9年,整棟/4F,0.0,0.0,1.0,0.0,前鎮區-,復興三路,"2,280"
115,公寓,3房2廳2衛,權狀25.08坪,主建22.95坪,40年,4F/5F,0.0,0.0,1.0,0.0,小港區-,廈莊六街,495
116,公寓,3房2廳2衛,權狀27.94坪,主建22.98坪,39年,2F/5F,0.0,0.0,0.0,0.0,鳳山區-,保生路,536
117,透天厝,4房2廳4衛,權狀61.98坪,主建50.08坪,21年,1F~4F/4F,0.0,1.0,1.0,0.0,前鎮區-,新光路,"1,980"
118,電梯大樓,2房1廳1衛,權狀36.78坪,主建17.16坪,14年,13F/15F,0.0,1.0,1.0,0.0,鳳山區-,北昌三街,"1,588"
119,透天厝,4房2廳3衛,權狀47.25坪,主建40.88坪,38年,1F~3F/3F,0.0,0.0,0.0,0.0,左營區-,新莊一路,"1,398"
120,電梯大樓,2房2廳1衛,權狀27.55坪,主建17.06坪,28年,13F/22F,0.0,0.0,0.0,1.0,左營區-,文學路611巷,798
121,公寓,4房2廳2衛,權狀20坪,主建20坪,42年,2F/5F,0.0,0.0,1.0,0.0,三民區-,德旺街,688
122,電梯大樓,3房2廳2衛,權狀58.66坪,主建23.51坪,4年,4F/15F,0.0,1.0,1.0,0.0,鳳山區-,中山東路58巷,"1,798"
123,電梯大樓,3房2廳2衛,權狀54.21坪,主建24.2坪,6個月,12F/12F,0.0,0.0,0.0,0.0,左營區-,重吉路,"2,398"
124,電梯大樓,3房2廳2衛,權狀32.08坪,主建21.74坪,26年,5F/24F,0.0,0.0,0.0,1.0,三民區-,裕誠路,798
125,電梯大樓,3房2廳2衛,權狀36.4坪,主建22坪,8年,2F/10F,0.0,1.0,1.0,0.0,鳳山區-,五甲二路,"1,298"
126,電梯大樓,4房2廳2衛,權狀47.81坪,主建29坪,26年,3F/14F,1.0,1.0,1.0,0.0,三民區-,覺民路,"1,360"
127,電梯大樓,4房2廳2衛,權狀82.74坪,主建42.97坪,12年,14F/24F,0.0,1.0,1.0,0.0,三民區-,順昌街,"3,300"
128,透天厝,4房2廳4衛,權狀61坪,主建50坪,20年,整棟/4F,0.0,0.0,1.0,0.0,三民區-,建國三路,"1,980"
129,透天厝,5房3廳9衛,權狀148.15坪,主建137.26坪,24年,6F/6F,0.0,0.0,1.0,0.0,鳳山區-,北賢街,"7,380"
130,公寓,3房2廳2衛,權狀28.26坪,主建21.29坪,40年,5F/5F,0.0,0.0,0.0,1.0,左營區-,博愛四路,398
131,電梯大樓,2房2廳3衛,權狀61.98坪,主建31.67坪,3年,1F/15F,0.0,0.0,0.0,0.0,左營區-,菜公一路,"1,890"
132,電梯大樓,3房2廳2衛,權狀43.58坪,主建19.15坪,不詳,10F/34F,0.0,1.0,0.0,1.0,三民區-,慶雲街39巷,"1,986"
133,電梯大樓,3房2廳2衛,權狀34.93坪,主建24.75坪,35年,7F/7F,0.0,0.0,0.0,1.0,三民區-,覺民路285巷,698
134,公寓,3房2廳2衛,權狀61.57坪,主建26.62坪,3年,23F/28F,0.0,1.0,1.0,0.0,楠梓區-,北昌街,"2,585"
135,公寓,2房2廳1衛,權狀34.65坪,主建14.23坪,8年,11F/15F,0.0,1.0,1.0,0.0,楠梓區-,旗楠路,980
136,電梯大樓,3房2廳2衛,權狀45.23坪,主建26.46坪,30年,6F/17F,0.0,1.0,1.0,1.0,左營區-,富民路,798
137,電梯大樓,4房2廳2衛,權狀55.68坪,主建32.83坪,24年,7F/9F,0.0,1.0,1.0,1.0,左營區-,民族一路901巷,"1,818"
138,電梯大樓,2房2廳1衛,權狀25.52坪,主建17.32坪,27年,10F/24F,0.0,0.0,1.0,1.0,楠梓區-,德中路,640
139,電梯大樓,3房2廳2衛,權狀46.22坪,主建21.97坪,不詳,14F/15F,0.0,0.0,0.0,0.0,左營區-,文川路,"1,398"
140,電梯大樓,4房2廳2衛,權狀64.12坪,主建32.17坪,8年,3F/15F,0.0,1.0,0.0,0.0,三民區-,金鼎路,"1,777"
141,電梯大樓,3房2廳2衛,權狀37.4坪,主建21.17坪,27年,21F/22F,1.0,1.0,1.0,0.0,左營區-,先勝路,"1,388"
142,電梯大樓,3房2廳2衛,權狀41.71坪,主建23.83坪,17年,7F/14F,0.0,1.0,1.0,0.0,鼓山區-,裕誠路,"1,320"
143,電梯大樓,3房2廳2衛,權狀39.76坪,主建26.58坪,30年,8F/19F,0.0,0.0,1.0,1.0,左營區-,文自路,"1,228"
144,電梯大樓,3房2廳2衛,權狀42.65坪,主建21.42坪,1個月,14F/15F,0.0,1.0,0.0,0.0,三民區-,明仁路,"1,398"
145,電梯大樓,3房2廳2衛,權狀28坪,主建19坪,30年,3F/8F,0.0,0.0,1.0,1.0,左營區-,文天路,728
146,電梯大樓,4房2廳2衛,權狀61.28坪,主建30.86坪,12年,2F/15F,0.0,1.0,0.0,0.0,鼓山區-,美術東六街,"1,988"
147,電梯大樓,2房2廳2衛,權狀56坪,主建23.04坪,7年,14F/15F,0.0,0.0,0.0,0.0,楠梓區-,大學二十街,"2,088"
148,電梯大樓,3房2廳2衛,權狀41.36坪,主建22.56坪,23年,10F/12F,0.0,1.0,1.0,0.0,左營區-,介壽路,"1,188"
149,透天厝,3房2廳3衛,權狀21.81坪,主建21.81坪,43年,1F~2F/2F,0.0,1.0,1.0,0.0,三民區-,春陽街,"1,398"
150,透天厝,4房2廳4衛,權狀95.26坪,主建86.47坪,1年,1F~4F/4F,0.0,0.0,0.0,0.0,三民區-,文安南街,"2,988"
