Shape,Area,MainArea,Age,TopSchool,Parking,Balcony,LowStruct,DisTrict,Money,Room,LivingRoom,Bathroom,Floor_min,Floor_max
電梯大樓,74.5,41.91,10.0,0.0,1.0,0.0,0.0,鼓山區,2538.0,4.0,2.0,3.0,3,15
電梯大樓,44.94,19.37,0.6666666666666666,0.0,1.0,0.0,0.0,楠梓區,2180.0,3.0,2.0,2.0,15,24
電梯大樓,38.15,25.16,28.0,0.0,0.0,1.0,1.0,前金區,799.0,3.0,2.0,2.0,9,15
透天厝,58.4,53.3,1.0,0.0,0.0,0.0,0.0,鹽埕區,1988.0,4.0,2.0,3.0,All,4
電梯大樓,47.49,17.93,20.0,0.0,1.0,1.0,0.0,旗山區,1868.0,3.0,2.0,2.0,15,15
別墅,67.07,60.81,9.0,0.0,0.0,0.0,0.0,前金區,1980.0,5.0,2.0,4.0,All,4
電梯大樓,73.98,42.56,5.0,1.0,1.0,1.0,0.0,鼓山區,3368.0,4.0,2.0,2.0,12,29
電梯大樓,136.89,68.33,10.0,1.0,1.0,1.0,0.0,鼓山區,3980.0,4.0,2.0,3.0,2,29
電梯大樓,50.12,25.65,22.0,0.0,0.0,0.0,0.0,楠梓區,1750.0,4.0,2.0,2.0,7,14
電梯大樓,44.63,19.85,3.0,0.0,1.0,1.0,0.0,楠梓區,1498.0,3.0,2.0,2.0,15,15
電梯大樓,68.07,28.3,2.0,0.0,1.0,0.0,0.0,鼓山區,2315.0,4.0,2.0,2.0,7,15
透天厝,51.0,12.52,20.0,0.0,1.0,1.0,0.0,大社區,1888.0,4.0,2.0,4.0,All,4
公寓,24.8,24.8,45.0,0.0,0.0,1.0,0.0,前鎮區,538.0,3.0,2.0,2.0,5,5
電梯大樓,32.93,23.79,27.0,0.0,0.0,0.0,1.0,鼓山區,748.0,3.0,2.0,2.0,7,12
透天厝,409.0,78.0,5.0,0.0,0.0,0.0,0.0,大寮區,4200.0,6.0,2.0,4.0,All,3
電梯大樓,40.71,23.19,1.0,0.0,1.0,1.0,1.0,新興區,1198.0,4.0,2.0,2.0,7,7
別墅,67.07,60.81,9.0,0.0,1.0,0.0,0.0,鹽埕區,1980.0,5.0,2.0,4.0,All,4
電梯大樓,66.71,33.33,0.9166666666666666,0.0,1.0,1.0,0.0,前金區,2866.0,3.0,2.0,2.0,20,29
透天厝,53.85,48.98,1.0,0.0,0.0,0.0,0.0,大社區,1289.0,4.0,2.0,4.0,All,4
別墅,76.1,68.4,28.0,0.0,1.0,1.0,0.0,小港區,1380.0,4.0,2.0,4.0,All,4
電梯大樓,25.02,14.61,0.0833333333333333,0.0,1.0,0.0,0.0,小港區,938.0,2.0,2.0,1.0,7,12
透天厝,29.95,21.24,36.0,0.0,0.0,1.0,0.0,左營區,858.0,4.0,2.0,3.0,All,3
電梯大樓,38.32,17.97,4.0,1.0,1.0,0.0,0.0,三民區,1080.0,2.0,2.0,2.0,11,13
透天厝,45.66,45.66,41.0,1.0,0.0,1.0,0.0,鳳山區,1985.0,6.0,2.0,3.0,All,3
電梯大樓,60.73,30.29,16.0,0.0,1.0,0.0,0.0,三民區,1880.0,4.0,2.0,2.0,5,28
電梯大樓,37.28,16.13,6.0,0.0,1.0,1.0,0.0,左營區,1398.0,2.0,2.0,1.0,9,13
電梯大樓,154.72,73.63,10.0,0.0,1.0,1.0,0.0,三民區,5198.0,4.0,3.0,3.0,9,25
電梯大樓,29.71,20.28,30.0,0.0,0.0,0.0,0.0,三民區,698.0,3.0,2.0,2.0,8,8
電梯大樓,34.93,24.75,35.0,0.0,0.0,1.0,1.0,鼓山區,698.0,3.0,2.0,2.0,7,7
